taxa,region,treename,incl,RL.cat
Erica_valida,CAPE,CAPE&Erica_valida,0,LC
Erica_vallis_aranearum,CAPE,CAPE&Erica_vallis_aranearum,1,CR
Erica_vallis_fluminis,CAPE,CAPE&Erica_vallis_fluminis,1,LC
Erica_vallis_gratiae,CAPE,CAPE&Erica_vallis_gratiae,0,LC
Erica_varderi,CAPE,CAPE&Erica_varderi,0,NE
Erica_velatiflora,CAPE,CAPE&Erica_velatiflora,1,VU
Erica_ventricosa_var._ventricosa,CAPE,CAPE&Erica_ventricosa_var._ventricosa,1,LC
Erica_venustiflora_ssp._glandulosa,CAPE,CAPE&Erica_venustiflora_ssp._glandulosa,1,VU
Erica_venustiflora_ssp._venustiflora,CAPE,CAPE&Erica_venustiflora_ssp._venustiflora,0,EN
Erica_verecunda,CAPE,CAPE&Erica_verecunda,1,LC
Erica_vernicosa,CAPE,CAPE&Erica_vernicosa,1,LC
Erica_versicolor,CAPE,CAPE&Erica_versicolor,1,LC
Erica_verticillata,CAPE,CAPE&Erica_verticillata,1,CR
Erica_vestita,CAPE,CAPE&Erica_vestita,1,LC
Erica_viguieri,TEA,TEA&Erica_viguieri,0,NE
Erica_villosa,CAPE,CAPE&Erica_villosa,1,LC
Erica_virginalis,CAPE,CAPE&Erica_virginalis,0,LC
Erica_viridiflora_ssp._primulina,CAPE,CAPE&Erica_viridiflora_ssp._primulina,0,LC
Erica_viridiflora_ssp._redacta,CAPE,CAPE&Erica_viridiflora_ssp._redacta,0,EN
Erica_viridiflora_ssp._viridiflora,CAPE,CAPE&Erica_viridiflora_ssp._viridiflora,1,LC
Erica_viridimontana_ssp._nivicola,CAPE,CAPE&Erica_viridimontana_ssp._nivicola,0,NE
Erica_viridimontana_ssp._viridimontana,CAPE,CAPE&Erica_viridimontana_ssp._viridimontana,1,CR
Erica_viscaria_ssp._gallorum,CAPE,CAPE&Erica_viscaria_ssp._gallorum,0,CR
Erica_viscaria_ssp._longifolia,CAPE,CAPE&Erica_viscaria_ssp._longifolia,1,LC
Erica_viscaria_ssp._macrosepala,CAPE,CAPE&Erica_viscaria_ssp._macrosepala,1,LC
Erica_viscaria_ssp._pendula,CAPE,CAPE&Erica_viscaria_ssp._pendula,1,VU
Erica_viscaria_ssp._pustulata,CAPE,CAPE&Erica_viscaria_ssp._pustulata,0,VU
Erica_viscaria_ssp._viscaria,CAPE,CAPE&Erica_viscaria_ssp._viscaria,1,LC
Erica_viscidiflora,CAPE,CAPE&Erica_viscidiflora,0,NE
Erica_viscosissima,CAPE,CAPE&Erica_viscosissima,0,VU
Erica_vlokii,CAPE,CAPE&Erica_vlokii,1,VU
Erica_vogelpoelii,CAPE,CAPE&Erica_vogelpoelii,1,LC
Erica_walkeria_var._praestans,CAPE,CAPE&Erica_walkeria_var._praestans,0,LC
Erica_walkeria_var._walkeria,CAPE,CAPE&Erica_walkeria_var._walkeria,1,LC
Erica_wangfatiana,TEA,TEA&Erica_wangfatiana,0,NE
Erica_wendlandiana,CAPE,CAPE&Erica_wendlandiana,1,LC
Erica_whyteana,TEA,TEA&Erica_whyteana,1,NE
Erica_wildii,TEA,TEA&Erica_wildii,0,LC
Erica_williamsiorum,CAPE,CAPE&Erica_williamsiorum,0,VU
Erica_winteri,CAPE,CAPE&Erica_winteri,0,LC
Erica_wittebergensis,CAPE,CAPE&Erica_wittebergensis,0,LC
Erica_woodii_ssp._platyura,TEA,TEA&Erica_woodii_ssp._platyura,0,NE
Erica_woodii_ssp._woodii,TEA,TEA&Erica_woodii_ssp._woodii,1,NE
Erica_wyliei,TEA,TEA&Erica_wyliei,0,LC
Erica_xanthina,CAPE,CAPE&Erica_xanthina,0,LC
Erica_xeranthemifolia,CAPE,CAPE&Erica_xeranthemifolia,0,CR
Erica_zebrensis,CAPE,CAPE&Erica_zebrensis,1,EN
Erica_zeyheriana,CAPE,CAPE&Erica_zeyheriana,1,VU
Erica_zwartbergensis,CAPE,CAPE&Erica_zwartbergensis,1,LC
